transaction_id,sender_account,receiver_account,beneficiary_id,device_id,transaction_type,transaction_direction,transaction_channel,amount,balance_before,balance_after,transaction_status,remarks,merchant_category,latitude,longitude,location_radius_km,transaction_hour,is_new_beneficiary,is_night_transaction,transaction_velocity,otp_attempts,failed_auth_attempts,risk_score,risk_level,ml_prediction,transaction_time
1732,316174405488,359159225975,2644,277,NEFT,Credit,ATM,104631.09,463693.08,568324.17,Failed,Tiwari LLC,Healthcare,28.7041,77.1025,566.96,5,1,0,25.55,1,0,0.1,Low,Low,2026-02-02 05:01:11
1733,663745835641,459084197360,3119,368,IMPS,Debit,USSD,35264.65,127769.64,92504.99000000000,Failed,"Hari, Wable and Issac",Travel,28.7041,77.1025,842.86,1,0,1,9.08,3,1,0.71,High,High,2025-12-19 01:01:47
1734,895539672395,624833811467,1787,1384,UPI,Credit,Mobile App,119688.23,326957.42,446645.65000000000,Failed,Peri LLC,Food,17.385,78.4867,610.22,14,1,0,4.85,3,1,0.04,Low,Low,2025-12-22 14:27:18
1735,500872138912,902263797200,2169,1745,NEFT,Debit,Hardware Token,126586.81,25286.9,-101299.91,Success,"Yadav, Singh and Mukhopadhyay",Shopping,13.0827,80.2707,471.21,15,0,0,42.57,3,2,0.59,Medium,Medium,2026-02-24 15:12:03
1736,541404102194,301780492511,2191,1886,POS Purchase,Credit,Net Banking,52012.96,446748.02,498760.98000000000,Failed,Pillai Inc,Food,19.076,72.8777,780.55,5,0,0,24.56,0,1,0.39,Low,Low,2025-10-28 05:55:38
1737,717252968277,253844673559,3581,764,Bill Payment,Debit,USSD,140126.18,343219.03,203092.85000000000,Failed,Lal-Jayaraman,Healthcare,18.5204,73.8567,622.42,15,0,0,42.34,1,0,0.41,Medium,Medium,2025-09-15 15:34:28
1738,204381945449,705813916263,93,487,ATM,Credit,ATM,138999.35,321731.07,460730.42000000000,Failed,Shroff and Sons,Gaming,13.0827,80.2707,429.28,0,0,1,4.73,0,0,0.27,Low,Low,2026-04-24 00:21:51
1739,444315868210,715833442111,1284,133,RTGS,Debit,Net Banking,70326.19,405661.32,335335.13,Success,"Hora, Chanda and Wable",Utilities,22.5726,88.3639,929.31,16,1,0,4.55,3,1,0.51,Medium,Medium,2025-08-14 16:18:30
1740,353227158590,623001490690,2073,1285,ATM,Credit,ATM,119950.98,183738.05,303689.03000000000,Success,"Varty, Narayan and Vaidya",Gaming,17.385,78.4867,689.57,6,0,0,49.97,2,0,0.41,Medium,Medium,2025-07-31 06:32:55
1741,781202069899,269160660577,3177,1448,POS Purchase,Debit,ATM,125422.02,240063.1,114641.08,Failed,"Natt, Yohannan and Murthy",Food,22.5726,88.3639,308.59,16,0,0,11.14,3,2,0.85,High,High,2026-02-26 16:47:39
1742,865531663270,779623555202,509,807,ATM,Credit,USSD,63198.39,358613.97,421812.36,Failed,"Chopra, Mitra and Dey",Travel,18.5204,73.8567,262.87,23,1,0,12.27,2,1,0.37,Low,Low,2026-01-17 23:51:04
1743,899130637250,164675373604,340,1582,RTGS,Credit,Mobile App,90428.25,292312.76,382741.01,Failed,Joshi LLC,Gaming,18.5204,73.8567,835.13,21,1,0,3.98,1,2,0.94,High,High,2025-09-03 21:03:42
1744,468635182272,206187276786,189,1404,RTGS,Debit,Hardware Token,56644.57,87109.52,30464.950000000000,Failed,"Savant, Bose and Anand",Food,22.5726,88.3639,629.24,21,0,0,5.76,0,0,0.08,Low,Low,2025-09-23 21:39:51
1745,925001017424,329598116358,1642,897,POS Purchase,Debit,Net Banking,5054.85,44589.17,39534.32,Success,"Kadakia, Seshadri and Dalal",Utilities,18.5204,73.8567,125.81,6,0,0,31.9,0,0,0.8,High,High,2025-08-09 06:40:59
1746,857672867750,545221674266,3322,1104,RTGS,Credit,Net Banking,145579.19,437146.84,582726.03,Success,Nayar-Basak,Investment,18.5204,73.8567,815.93,1,1,1,33.38,0,2,0.01,Low,Low,2026-04-02 01:42:13
1747,618891319967,188987763744,1656,211,POS Purchase,Credit,Hardware Token,60399.06,388597.76,448996.82,Failed,Hegde-Karnik,Healthcare,13.0827,80.2707,92.88,5,1,0,2.5,0,2,0.43,Medium,Medium,2025-08-07 05:27:02
1748,628238770037,469962926296,2257,12,IMPS,Debit,Mobile App,20247.97,272571.04,252323.07000000000,Failed,"Pau, Sant and Gala",Utilities,17.385,78.4867,108.91,3,0,1,5.06,0,2,0.67,Medium,Medium,2025-06-08 03:41:25
1749,871265623693,618891319967,2920,615,POS Purchase,Debit,Net Banking,144178.26,54823.72,-89354.54000000000,Success,Kari PLC,Food,12.9716,77.5946,760.22,4,0,0,11.64,3,2,0.07,Low,Low,2025-05-28 04:21:50
1750,584046407133,547573129992,540,1054,IMPS,Debit,Hardware Token,22427.13,350845.59,328418.46,Failed,Chad-Gade,Food,17.385,78.4867,162.05,12,1,0,45.81,2,1,0.67,Medium,Medium,2025-08-08 12:17:14
1751,902389971221,355208461708,2458,446,POS Purchase,Debit,Mobile App,85738.95,172002.5,86263.55,Success,"Varughese, Mittal and Singh",Healthcare,22.5726,88.3639,632.99,23,0,0,27.23,2,0,0.62,Medium,Medium,2026-02-18 23:49:32
1752,180296684745,899382462261,528,638,Bill Payment,Credit,Net Banking,77372.67,289857.94,367230.61,Success,Saxena and Sons,Healthcare,19.076,72.8777,938.01,21,0,0,45.09,2,0,0.34,Low,Low,2025-09-12 21:20:32
1753,298981586107,444315868210,3551,1661,NEFT,Debit,USSD,28664.97,118090.21,89425.24,Success,Bose-Thaman,Gaming,28.7041,77.1025,790.6,4,1,0,27.41,3,1,0.03,Low,Low,2025-06-04 04:30:43
1754,127243345530,563210369835,246,1543,ATM,Credit,Hardware Token,372.84,38646.24,39019.080000000000,Failed,Ramaswamy LLC,Gaming,17.385,78.4867,622.2,13,0,0,10.23,0,2,0.68,Medium,Medium,2025-05-23 13:31:54
1755,953124992627,178570360378,3268,1312,NEFT,Debit,Net Banking,90439.28,195352.0,104912.72,Success,Ramakrishnan Group,Shopping,18.5204,73.8567,893.54,5,0,0,48.61,1,0,0.53,Medium,Medium,2025-12-02 05:21:02
1756,479016258768,525381501724,3243,869,ATM,Debit,ATM,53911.34,327332.91,273421.57000000000,Failed,Narasimhan and Sons,Shopping,12.9716,77.5946,208.64,4,0,0,46.1,0,2,0.34,Low,Low,2026-04-08 04:24:00
1757,585223164784,551134582914,2857,1423,Bill Payment,Credit,USSD,4757.66,21839.09,26596.75,Failed,"Batra, Pall and Varkey",Travel,19.076,72.8777,123.97,3,0,1,6.47,2,0,0.35,Low,Low,2025-09-23 03:18:24
1758,714859697353,211263616518,705,519,ATM,Credit,Hardware Token,49673.43,316960.05,366633.48,Success,De-Karnik,Healthcare,13.0827,80.2707,393.81,15,0,0,4.27,3,2,0.13,Low,Low,2026-03-03 15:53:56
1759,572160047766,335359311274,1970,1027,RTGS,Credit,ATM,78592.57,368357.83,446950.4,Success,Agrawal and Sons,Travel,17.385,78.4867,875.75,3,1,1,40.67,0,2,0.2,Low,Low,2026-04-21 03:57:27
1760,987715350620,437197096619,2737,1384,Bill Payment,Debit,Mobile App,103744.39,26729.59,-77014.8,Success,Nath Group,Investment,12.9716,77.5946,325.75,8,0,0,14.25,1,1,0.73,High,High,2025-09-23 08:42:39
1761,228709142228,389883535017,417,102,IMPS,Credit,ATM,112867.63,64402.68,177270.31,Failed,Prashad-Mittal,Gaming,12.9716,77.5946,77.31,22,0,0,3.44,3,1,0.81,High,High,2025-09-14 22:46:47
1762,267815821088,859660618570,855,1571,Bill Payment,Debit,Hardware Token,99813.31,146069.74,46256.43000000000,Success,"Sachdeva, Rana and Arora",Utilities,12.9716,77.5946,697.01,22,0,0,37.69,3,2,0.4,Medium,Medium,2025-08-18 22:25:25
1763,162204276316,645452242263,2273,1076,NEFT,Credit,Hardware Token,42882.95,77638.98,120521.93,Success,"Bali, Chacko and Dewan",Shopping,13.0827,80.2707,696.52,22,1,0,37.88,2,0,0.8,High,High,2025-12-19 22:40:04
1764,934903299769,365336593908,2978,1409,Bill Payment,Debit,USSD,647.02,283789.94,283142.92,Failed,Bhardwaj-Padmanabhan,Shopping,12.9716,77.5946,458.04,8,0,0,2.06,2,0,0.63,Medium,Medium,2025-11-01 08:24:46
1765,913729099427,632441670973,312,2006,UPI,Debit,Net Banking,36725.09,28645.06,-8080.030000000000,Success,Swamy-Tata,Gaming,13.0827,80.2707,304.22,19,1,0,40.71,2,2,0.64,Medium,Medium,2025-12-31 19:19:24
1766,516441209808,314371245639,2222,909,ATM,Debit,Net Banking,111788.94,271430.93,159641.99,Success,Palan-Oza,Investment,18.5204,73.8567,617.17,1,0,1,21.28,0,2,0.91,High,High,2025-11-21 01:00:40
1767,743961248853,127975466877,761,1956,RTGS,Debit,Hardware Token,51987.83,85401.49,33413.66,Success,Mannan-Dass,Gaming,13.0827,80.2707,806.5,15,0,0,46.36,2,1,0.32,Low,Low,2025-11-15 15:18:59
1768,965472476976,649772929628,103,1934,UPI,Credit,Net Banking,142678.05,410752.45,553430.5,Success,Sinha-Chacko,Utilities,13.0827,80.2707,301.72,12,1,0,41.62,0,2,0.91,High,High,2025-05-21 12:34:28
1769,639781445881,592401101946,1967,302,Bill Payment,Credit,Mobile App,57705.72,55813.47,113519.19,Success,"Palla, Seshadri and Chaudhuri",Investment,22.5726,88.3639,24.87,4,1,0,8.66,2,2,0.55,Medium,Medium,2026-03-08 04:24:41
1770,148590703031,125658039489,1795,1481,ATM,Credit,ATM,27366.38,258997.23,286363.61,Failed,"Balakrishnan, Saraf and Lata",Shopping,19.076,72.8777,89.26,0,0,1,23.67,0,1,0.0,Low,Low,2025-08-12 00:29:29
1771,748036585566,514892975921,3466,637,IMPS,Debit,ATM,62898.18,300928.71,238030.53000000000,Success,"Walia, Batta and Jhaveri",Food,22.5726,88.3639,493.26,16,1,0,19.1,3,0,0.76,High,High,2026-04-29 16:08:12
1772,684196756527,171616977712,2319,1503,Bill Payment,Debit,Net Banking,97377.11,70743.58,-26633.53,Success,Maharaj and Sons,Healthcare,13.0827,80.2707,997.26,18,0,0,5.14,0,0,0.34,Low,Low,2025-06-14 18:22:35
1773,825834973365,737272893923,3109,1688,NEFT,Credit,Hardware Token,63753.54,382922.44,446675.98,Failed,"Pandey, Shere and Keer",Shopping,22.5726,88.3639,219.02,19,0,0,33.23,0,2,0.73,High,High,2025-12-09 19:57:03
1774,457862946201,688261446266,1896,187,UPI,Debit,Net Banking,124397.51,83618.81,-40778.7,Success,"Thakur, Wason and Mand",Travel,19.076,72.8777,940.11,18,1,0,18.22,1,1,1.0,High,High,2025-12-09 18:58:50
1775,645260888136,319259362974,147,71,IMPS,Debit,USSD,18335.36,48999.05,30663.690000000000,Failed,"Mukhopadhyay, Parekh and Nigam",Healthcare,28.7041,77.1025,60.75,23,0,0,10.35,3,1,0.27,Low,Low,2026-05-03 23:49:38
1776,523906375407,546743959741,1240,945,UPI,Debit,Mobile App,46959.68,428968.24,382008.56,Success,"Nadig, Palan and Gade",Travel,28.7041,77.1025,635.05,21,1,0,18.63,1,0,0.97,High,High,2025-09-21 21:19:18
1777,519314798804,130271231837,1772,944,ATM,Debit,ATM,140799.26,430405.38,289606.12,Success,Nadkarni-Cherian,Gaming,17.385,78.4867,694.0,13,1,0,44.27,3,1,0.2,Low,Low,2025-08-22 13:00:28
1778,242862730676,162269223172,77,1655,NEFT,Debit,Mobile App,82200.6,224490.5,142289.9,Success,Rattan-Krish,Food,13.0827,80.2707,788.36,13,0,0,25.74,2,1,0.06,Low,Low,2026-01-29 13:27:40
1779,680981920149,953124992627,1006,894,Bill Payment,Credit,Mobile App,61347.01,224395.85,285742.86,Failed,"Sandal, Magar and Nigam",Investment,19.076,72.8777,881.44,20,0,0,3.65,2,1,0.22,Low,Low,2025-08-23 20:03:12
1780,474849252251,475164939861,3352,1037,RTGS,Credit,Net Banking,124604.67,251210.0,375814.67,Success,Sandhu Ltd,Healthcare,28.7041,77.1025,833.17,18,0,0,25.62,1,1,0.27,Low,Low,2026-04-09 18:54:06
1781,299895156188,908020686497,2548,1778,UPI,Debit,Mobile App,129225.0,313105.77,183880.77000000000,Failed,Warrior Inc,Investment,28.7041,77.1025,278.49,10,1,0,4.77,0,1,0.19,Low,Low,2025-09-16 10:28:42
1782,765289576378,228709142228,2670,1340,POS Purchase,Debit,ATM,97956.76,281104.83,183148.07,Success,"Manne, Deol and More",Utilities,17.385,78.4867,230.81,15,0,0,26.3,0,0,0.68,Medium,Medium,2026-02-03 15:33:46
1783,696526888940,867471070059,908,530,UPI,Debit,Hardware Token,124363.65,18694.0,-105669.65,Success,Ravel-Parmer,Gaming,19.076,72.8777,506.74,10,0,0,6.08,2,1,0.85,High,High,2025-12-22 10:13:22
1784,683053898107,458248091096,3568,720,UPI,Credit,Net Banking,19068.53,138541.45,157609.98,Failed,Das PLC,Shopping,17.385,78.4867,837.32,14,0,0,41.26,3,1,0.26,Low,Low,2025-06-26 14:49:18
1785,348725639449,797222770908,2308,1753,NEFT,Debit,Net Banking,124221.56,275156.83,150935.27000000000,Failed,Barman-Grover,Healthcare,18.5204,73.8567,704.92,11,0,0,17.56,2,0,0.68,Medium,Medium,2025-06-23 11:43:29
1786,770907012230,404053148424,2673,158,NEFT,Debit,Net Banking,65492.31,163879.95,98387.64000000000,Failed,"Yogi, Saha and Mutti",Utilities,17.385,78.4867,424.08,23,1,0,46.82,3,0,0.64,Medium,Medium,2025-10-13 23:49:29
1787,293919963269,638136357872,2697,1940,IMPS,Debit,Hardware Token,53051.8,100302.7,47250.900000000000,Failed,More-Mishra,Healthcare,18.5204,73.8567,828.91,6,1,0,5.25,3,2,0.42,Medium,Medium,2025-09-13 06:47:21
1788,396824651973,692035198478,2456,641,POS Purchase,Credit,Hardware Token,16609.76,221298.98,237908.74000000000,Failed,Sehgal-Bhasin,Shopping,22.5726,88.3639,313.7,17,0,0,31.66,3,1,0.61,Medium,Medium,2025-09-24 17:23:31
1789,116181230605,589988659734,2849,784,RTGS,Debit,ATM,6273.89,149410.1,143136.21,Success,"Pradhan, Mangal and Handa",Healthcare,17.385,78.4867,357.37,7,1,0,43.75,3,2,0.61,Medium,Medium,2025-05-31 07:30:43
1790,205666441980,259386687216,1298,717,ATM,Credit,ATM,99860.42,402411.95,502272.37,Failed,Merchant-Karan,Investment,17.385,78.4867,521.97,9,0,0,8.4,0,2,0.45,Medium,Medium,2025-05-28 09:50:14
1791,789930655181,631837670153,1740,955,ATM,Credit,Net Banking,51268.88,142774.08,194042.96,Failed,Andra Group,Food,13.0827,80.2707,412.15,5,1,0,41.85,0,0,0.17,Low,Low,2026-01-12 05:06:33
1792,127477354781,366364053093,40,606,RTGS,Credit,USSD,19534.24,205516.88,225051.12,Failed,Bedi LLC,Healthcare,18.5204,73.8567,281.82,9,0,0,44.25,3,0,0.05,Low,Low,2025-12-05 09:12:27
1793,971676500235,545670098277,434,952,POS Purchase,Credit,ATM,82238.3,374035.16,456273.46000000000,Success,Buch-Parsa,Travel,13.0827,80.2707,776.88,18,1,0,38.2,0,2,0.13,Low,Low,2025-07-04 18:19:53
1794,533735496830,254722904915,1863,1095,ATM,Credit,Net Banking,109072.95,489407.84,598480.79,Failed,"Ramakrishnan, Sarna and Mammen",Utilities,28.7041,77.1025,109.69,5,0,0,33.75,0,0,0.33,Low,Low,2025-12-15 05:06:38
1795,502526427331,745323217762,3093,1313,Bill Payment,Debit,Hardware Token,70108.45,227089.6,156981.15000000000,Failed,Sant Inc,Travel,12.9716,77.5946,287.96,2,0,1,20.07,1,1,0.91,High,High,2026-02-19 02:39:37
1796,964981379146,848384199324,576,131,RTGS,Debit,Net Banking,96097.72,490800.82,394703.1,Success,Dixit-Yadav,Investment,22.5726,88.3639,304.34,16,0,0,30.54,2,0,0.46,Medium,Medium,2025-12-17 16:27:07
1797,616515285838,448990331834,667,1637,POS Purchase,Credit,Hardware Token,82846.3,131651.28,214497.58000000000,Success,Thaker Group,Healthcare,19.076,72.8777,264.94,17,1,0,39.33,0,0,0.21,Low,Low,2026-04-20 17:28:44
1798,192906991931,688271662709,2839,658,NEFT,Debit,ATM,147991.49,261922.66,113931.17000000000,Success,"Mangal, Gade and Srinivas",Gaming,22.5726,88.3639,634.63,9,1,0,11.6,0,0,0.74,High,High,2026-01-13 09:53:37
1799,396705433593,264887270873,2567,1964,Bill Payment,Credit,USSD,144366.16,327512.33,471878.49,Failed,"Varma, Narayanan and Ramanathan",Gaming,12.9716,77.5946,609.68,13,1,0,27.41,3,2,0.27,Low,Low,2025-07-15 13:25:08
1800,833146853503,676807379369,2277,1050,NEFT,Credit,ATM,2718.27,222246.95,224965.22,Failed,"Chopra, Choudhary and Suri",Gaming,28.7041,77.1025,397.72,9,0,0,46.8,0,0,0.99,High,High,2026-02-25 09:38:06
1801,542355004108,278293579330,380,1863,ATM,Debit,Net Banking,119158.57,175737.12,56578.55000000000,Success,Kara Group,Utilities,12.9716,77.5946,965.07,3,1,1,26.69,0,2,0.21,Low,Low,2025-06-04 03:27:18
1802,487244981692,700659966376,2493,431,ATM,Debit,Mobile App,67172.49,162291.64,95119.15000000000,Success,Vohra-Khurana,Utilities,12.9716,77.5946,465.75,4,0,0,43.68,2,2,0.39,Low,Low,2026-01-22 04:25:50
1803,404053148424,528511802514,1622,341,UPI,Credit,Mobile App,99065.7,354927.06,453992.76,Failed,Borde-Dara,Travel,13.0827,80.2707,512.66,23,1,0,41.24,3,0,0.4,Medium,Medium,2025-05-29 23:44:07
1804,780141858094,809454042576,1617,671,IMPS,Credit,Net Banking,29556.36,362428.26,391984.62,Failed,Varty-Manda,Food,19.076,72.8777,138.7,3,0,1,19.39,0,1,0.62,Medium,Medium,2025-05-24 03:50:13
1805,230062350076,381420914868,2413,881,POS Purchase,Credit,Mobile App,118579.44,453682.5,572261.94,Success,Nair and Sons,Investment,12.9716,77.5946,759.5,1,1,1,19.49,1,0,0.49,Medium,Medium,2026-04-27 01:25:57
1806,475164939861,901864532361,2803,404,ATM,Debit,USSD,24802.04,368553.45,343751.41000000000,Failed,"Nayar, Bahl and Virk",Shopping,28.7041,77.1025,888.05,15,0,0,23.81,0,1,0.59,Medium,Medium,2026-01-25 15:31:53
1807,606463103670,237044180032,2606,1789,ATM,Credit,USSD,104339.37,308599.24,412938.61,Success,"Thakkar, Prabhakar and Mani",Healthcare,13.0827,80.2707,183.44,17,0,0,34.92,0,0,0.65,Medium,Medium,2026-02-05 17:25:39
1808,244446391437,361336977272,1713,1197,IMPS,Credit,Hardware Token,41658.39,472473.92,514132.31,Success,Shere Inc,Shopping,17.385,78.4867,711.64,7,0,0,31.27,1,1,0.25,Low,Low,2025-10-15 07:15:12
1809,986452741311,157264172565,2075,79,Bill Payment,Credit,ATM,10795.12,307627.33,318422.45,Success,Rege Inc,Gaming,13.0827,80.2707,459.81,1,0,1,16.34,3,1,0.61,Medium,Medium,2026-01-30 01:08:46
1810,479016258768,688866272880,3379,32,POS Purchase,Debit,USSD,67880.4,446386.51,378506.11,Failed,Yogi and Sons,Healthcare,28.7041,77.1025,308.36,2,1,1,49.76,2,2,0.22,Low,Low,2026-01-31 02:25:24
1811,206317327153,851068736121,2278,1710,Bill Payment,Credit,Net Banking,89486.59,243335.73,332822.32,Failed,Ravel Ltd,Utilities,19.076,72.8777,878.38,16,0,0,18.71,3,0,0.13,Low,Low,2025-07-07 16:53:44
1812,738445584767,359159225975,946,162,Bill Payment,Credit,ATM,145656.86,192803.7,338460.56,Success,Sharma-Kar,Utilities,18.5204,73.8567,96.66,10,1,0,46.05,2,2,0.0,Low,Low,2026-01-01 10:17:22
1813,689475154437,218204098722,2902,1516,IMPS,Credit,Hardware Token,49591.38,76523.79,126115.17000000000,Failed,"Nanda, Bahri and Sampath",Gaming,13.0827,80.2707,714.33,16,1,0,28.54,0,0,0.74,High,High,2025-08-23 16:45:35
1814,223423550252,204370802893,1970,121,Bill Payment,Credit,ATM,115277.37,436863.32,552140.69,Success,"Bala, Venkataraman and Garg",Utilities,22.5726,88.3639,337.69,0,0,1,13.97,3,2,0.48,Medium,Medium,2025-08-16 00:14:08
1815,589661042313,180296684745,1345,563,Bill Payment,Credit,Mobile App,140993.43,110807.46,251800.89,Failed,Doctor-Mitra,Investment,13.0827,80.2707,36.78,22,0,0,35.73,0,2,0.69,Medium,Medium,2026-01-12 22:07:54
1816,894501900468,474849252251,1112,360,ATM,Debit,Mobile App,92088.44,101162.43,9073.98999999999,Success,Patla-Taneja,Gaming,18.5204,73.8567,12.72,17,0,0,18.36,1,2,0.68,Medium,Medium,2025-07-02 17:35:44
1817,578873943005,174052870612,612,2015,Bill Payment,Credit,USSD,110602.72,295353.68,405956.4,Success,Natarajan Inc,Investment,22.5726,88.3639,344.48,2,1,1,34.36,3,2,0.4,Medium,Medium,2025-08-10 02:44:35
1818,871265623693,660828136549,1972,861,ATM,Credit,Mobile App,55933.48,18253.89,74187.37,Success,"Sule, Savant and Shetty",Travel,22.5726,88.3639,20.25,18,1,0,11.91,1,1,0.88,High,High,2025-08-30 18:39:35
1819,537886911357,792772716390,2780,1674,NEFT,Credit,Mobile App,146677.43,245420.01,392097.44,Success,Shroff-Chaudhary,Healthcare,28.7041,77.1025,736.63,10,1,0,37.16,2,1,0.43,Medium,Medium,2025-11-08 10:12:37
1820,481438905457,630022252512,731,296,UPI,Debit,USSD,33841.81,166324.07,132482.26,Failed,Mody-Majumdar,Investment,12.9716,77.5946,710.93,0,0,1,22.83,0,0,0.76,High,High,2025-11-19 00:43:15
1821,728640559177,387205359142,3528,1762,UPI,Credit,ATM,18126.55,65404.05,83530.6,Failed,Chokshi-Yadav,Investment,28.7041,77.1025,252.53,17,1,0,45.0,1,0,0.07,Low,Low,2026-03-15 17:29:22
1822,564206704223,961958106893,3154,1627,UPI,Debit,ATM,83103.46,481478.38,398374.92,Failed,"Mistry, Tandon and Basu",Healthcare,28.7041,77.1025,756.55,12,1,0,16.71,2,0,0.3,Low,Low,2025-09-03 12:11:47
1823,280091898035,677352636037,2380,880,IMPS,Debit,ATM,131067.99,80163.72,-50904.270000000000,Success,"Behl, Hora and Jani",Healthcare,13.0827,80.2707,165.93,1,1,1,13.34,2,1,0.24,Low,Low,2026-04-21 01:40:54
1824,106712175184,595044079033,1100,752,ATM,Credit,Mobile App,29219.27,347172.18,376391.45,Success,Chauhan-Kalita,Healthcare,18.5204,73.8567,509.93,2,0,1,15.97,2,1,0.66,Medium,Medium,2026-02-07 02:53:03
1825,759440919133,116181230605,2603,1366,NEFT,Debit,Mobile App,63012.47,471692.15,408679.68000000000,Failed,"Vaidya, Ahluwalia and Chandran",Gaming,28.7041,77.1025,273.32,21,0,0,31.52,2,0,0.37,Low,Low,2025-09-08 21:06:51
1826,230062350076,711275651086,1232,651,IMPS,Credit,ATM,65823.56,275296.8,341120.36,Failed,Murty-Jha,Investment,19.076,72.8777,636.01,20,0,0,19.28,3,0,0.9,High,High,2025-11-23 20:15:50
1827,680981920149,222799198075,1646,1291,UPI,Debit,USSD,92015.64,405579.23,313563.59000000000,Failed,"Sachar, Samra and Ranganathan",Healthcare,17.385,78.4867,40.81,6,1,0,17.91,1,0,0.1,Low,Low,2025-12-06 06:43:59
1828,548820778856,161002281380,410,1104,UPI,Credit,ATM,75596.7,457201.03,532797.73,Failed,"Dhaliwal, Bawa and Deshpande",Shopping,28.7041,77.1025,468.51,2,1,1,18.59,3,2,0.62,Medium,Medium,2026-04-07 02:30:15
1829,528514457862,696108207899,1384,861,RTGS,Credit,Hardware Token,30642.12,315769.16,346411.28000000000,Failed,Chakrabarti LLC,Shopping,22.5726,88.3639,25.51,19,1,0,21.12,2,1,0.69,Medium,Medium,2025-06-10 19:33:15
1830,396824651973,770843268198,2103,226,UPI,Debit,Mobile App,17289.73,73917.58,56627.850000000000,Success,Lanka-Buch,Utilities,22.5726,88.3639,67.83,4,1,0,21.67,3,1,0.02,Low,Low,2025-06-24 04:35:22
1831,319259362974,966824268312,1490,1687,Bill Payment,Credit,Net Banking,73544.44,187380.43,260924.87,Failed,Koshy Ltd,Gaming,18.5204,73.8567,660.2,7,1,0,21.64,0,2,0.08,Low,Low,2025-09-29 07:38:52
1832,829998863148,204381945449,1781,1059,ATM,Credit,USSD,18088.28,275833.68,293921.96000000000,Success,Kadakia-Contractor,Travel,28.7041,77.1025,394.87,12,1,0,11.87,1,1,0.91,High,High,2025-06-01 12:15:07
1833,857279019753,365336593908,1631,278,ATM,Credit,ATM,36261.45,499874.62,536136.07,Failed,"Sehgal, Puri and De",Food,12.9716,77.5946,422.96,20,1,0,47.64,3,0,0.03,Low,Low,2025-05-27 20:52:18
1834,248310470671,401984473963,836,1423,Bill Payment,Debit,Net Banking,143574.87,288247.08,144672.21000000000,Success,Dani-Golla,Utilities,18.5204,73.8567,42.56,16,0,0,28.51,3,2,0.85,High,High,2025-07-10 16:18:21
1835,964981379146,518358040131,756,355,NEFT,Credit,Mobile App,103765.07,292402.16,396167.23,Failed,Wable PLC,Gaming,17.385,78.4867,754.04,4,1,0,32.06,1,0,0.7,High,High,2026-02-01 04:52:19
1836,562881036568,286808608024,860,117,UPI,Credit,ATM,57776.27,222004.2,279780.47000000000,Success,"Narayan, Kurian and Suresh",Travel,22.5726,88.3639,540.47,0,1,1,38.15,1,0,0.25,Low,Low,2025-07-24 00:49:25
1837,895236200260,975459549419,3311,1876,Bill Payment,Debit,Mobile App,75121.44,345637.87,270516.43,Failed,Batra LLC,Investment,28.7041,77.1025,672.2,2,1,1,15.22,0,1,0.09,Low,Low,2026-01-02 02:10:48
1838,547573129992,842665334495,2358,1388,UPI,Credit,USSD,76167.58,219498.0,295665.58,Success,"Bhavsar, Mall and Dayal",Investment,18.5204,73.8567,838.62,21,1,0,14.04,1,0,0.92,High,High,2025-05-09 21:50:21
1839,171513489203,567655198855,1631,401,POS Purchase,Debit,Hardware Token,898.6,458268.01,457369.41000000000,Failed,Atwal Inc,Travel,12.9716,77.5946,308.72,14,0,0,44.06,1,1,0.64,Medium,Medium,2025-09-23 14:33:02
1840,524787080791,162877218200,200,1283,RTGS,Credit,USSD,47449.48,53359.42,100808.9,Failed,"Deep, Ben and Lall",Healthcare,17.385,78.4867,836.73,3,0,1,25.44,0,0,0.81,High,High,2025-07-14 03:39:43
1841,507317763835,865531663270,364,399,RTGS,Debit,ATM,84873.83,359826.68,274952.85,Failed,Deshmukh-Ramesh,Food,12.9716,77.5946,943.31,17,0,0,12.18,3,2,0.04,Low,Low,2025-11-13 17:35:07
1842,366345449193,243145417300,3114,162,UPI,Debit,Hardware Token,35801.32,142455.6,106654.28,Failed,Ganguly and Sons,Healthcare,22.5726,88.3639,141.13,22,0,0,21.65,1,0,0.4,Medium,Medium,2025-10-03 22:57:29
1843,898758100170,905841804692,139,809,ATM,Credit,Mobile App,65957.12,30003.21,95960.33000000000,Success,Chada-Radhakrishnan,Food,18.5204,73.8567,632.06,12,1,0,49.96,3,2,0.44,Medium,Medium,2026-04-22 12:17:38
1844,501716898659,852556358481,381,525,NEFT,Debit,USSD,53362.92,450444.99,397082.07,Success,Sathe-Natt,Travel,13.0827,80.2707,680.29,2,0,1,42.85,2,1,0.48,Medium,Medium,2025-12-26 02:34:01
1845,832969316313,325330286033,2829,678,NEFT,Credit,Mobile App,14430.84,224541.47,238972.31,Success,Sunder and Sons,Healthcare,28.7041,77.1025,658.77,12,1,0,23.04,0,2,0.44,Medium,Medium,2025-11-10 12:09:19
1846,787895778436,565985825361,1581,1229,NEFT,Debit,Hardware Token,130765.63,275068.46,144302.83000000000,Failed,Talwar PLC,Shopping,28.7041,77.1025,900.63,6,0,0,40.94,0,2,0.84,High,High,2025-07-21 06:05:22
